Fichier - WelzlTime - NaifTime
samples/test-1280.points - 247742 - 96091031
samples/test-1460.points - 206719 - 95004031
samples/test-1627.points - 241648 - 102914826
samples/test-601.points - 256726 - 85348481
samples/test-914.points - 385491 - 97113076
samples/test-1306.points - 290756 - 91667303
samples/test-707.points - 384713 - 99874253
samples/test-956.points - 405210 - 89992898
samples/test-286.points - 499922 - 101291903
samples/test-1582.points - 208039 - 86338086
samples/test-1262.points - 279627 - 103196270
samples/test-1648.points - 355985 - 88918409
samples/test-246.points - 105599 - 106751706
samples/test-881.points - 156708 - 80898755
samples/test-1435.points - 450409 - 122988091
samples/test-724.points - 297262 - 91472283
samples/test-1250.points - 339626 - 85781251
samples/test-189.points - 277900 - 96884262
samples/test-378.points - 269057 - 102662295
samples/test-1471.points - 484599 - 82399871
samples/test-1600.points - 123144 - 87989859
samples/test-7.points - 292770 - 104217103
samples/test-660.points - 480928 - 97815324
samples/test-1624.points - 191291 - 106976014
samples/test-425.points - 335849 - 86804785
samples/test-984.points - 515714 - 90172348
samples/test-797.points - 323558 - 118005792
samples/test-1578.points - 251350 - 118476062
samples/test-427.points - 339669 - 93812196
samples/test-1389.points - 149667 - 95586166
samples/test-485.points - 517537 - 102000975
samples/test-10.points - 238168 - 90991396
samples/test-235.points - 272049 - 100315376
samples/test-302.points - 350257 - 103302299
samples/test-920.points - 205576 - 88659756
samples/test-50.points - 145743 - 107421482
samples/test-1581.points - 705433 - 93971426
samples/test-447.points - 298058 - 81526826
samples/test-538.points - 333196 - 86914297
samples/test-975.points - 382835 - 90061599
samples/test-461.points - 74224 - 90984739
samples/test-267.points - 402314 - 86140097
samples/test-596.points - 286991 - 108208358
samples/test-1162.points - 367606 - 105395888
samples/test-1117.points - 373878 - 110998071
samples/test-1433.points - 503798 - 94612329
samples/test-564.points - 279986 - 98424750
samples/test-423.points - 419074 - 90633095
samples/test-821.points - 306646 - 92780535
samples/test-218.points - 376656 - 82439434
samples/test-40.points - 458400 - 117672279
samples/test-148.points - 199255 - 97933873
samples/test-1129.points - 421833 - 101773749
samples/test-1221.points - 277624 - 82448008
samples/test-1099.points - 223772 - 105291262
samples/test-469.points - 213608 - 100309322
samples/test-769.points - 337223 - 88271048
samples/test-1130.points - 444500 - 110596101
samples/test-419.points - 378223 - 99702820
samples/test-283.points - 446714 - 90884359
samples/test-500.points - 2891898 - 88437016
samples/test-1046.points - 257297 - 91753871
samples/test-489.points - 291926 - 81200595
samples/test-307.points - 403002 - 90987883
samples/test-1189.points - 393799 - 97921014
samples/test-776.points - 258233 - 112705942
samples/test-389.points - 322236 - 82143723
samples/test-1009.points - 344486 - 85059412
samples/test-763.points - 651860 - 81561923
samples/test-273.points - 388963 - 92129106
samples/test-1028.points - 295515 - 102492486
samples/test-300.points - 251605 - 84323374
samples/test-1210.points - 395868 - 96362261
samples/test-632.points - 584330 - 112626056
samples/test-3.points - 259128 - 100895974
samples/test-518.points - 345100 - 91258853
samples/test-1523.points - 271807 - 86588701
samples/test-144.points - 107793 - 109502496
samples/test-937.points - 300092 - 93871856
samples/test-1606.points - 448574 - 105662665
samples/test-325.points - 386959 - 86829801
samples/test-1346.points - 190005 - 94393504
samples/test-618.points - 98421 - 97909285
samples/test-72.points - 384606 - 91863763
samples/test-181.points - 274286 - 99057850
samples/test-1503.points - 359500 - 113158808
samples/test-90.points - 383995 - 83307771
samples/test-301.points - 310465 - 100906729
samples/test-358.points - 333665 - 110445696
samples/test-1044.points - 524686 - 99935827
samples/test-1484.points - 475630 - 89413454
samples/test-1051.points - 691414 - 110242613
samples/test-158.points - 199670 - 110480910
samples/test-929.points - 240521 - 89816972
samples/test-393.points - 419997 - 97905793
samples/test-869.points - 660453 - 138766
samples/test-116.points - 297609 - 91243872
samples/test-634.points - 275083 - 96022688
samples/test-1373.points - 334413 - 95252696
samples/test-249.points - 139231 - 103937985
samples/test-1141.points - 290672 - 100386306
samples/test-721.points - 126814 - 81721014
samples/test-829.points - 382019 - 106313287
samples/test-1337.points - 282156 - 87773341
samples/test-1401.points - 345312 - 92332037
samples/test-459.points - 346963 - 83242
samples/test-1527.points - 280163 - 88670023
samples/test-453.points - 631485 - 108064327
samples/test-828.points - 526771 - 83966861
samples/test-414.points - 284905 - 108322146
samples/test-653.points - 451589 - 90721553
samples/test-1529.points - 278845 - 112783500
samples/test-832.points - 369854 - 87782863
samples/test-1093.points - 378169 - 98266450
samples/test-1536.points - 545838 - 105708993
samples/test-1560.points - 142734 - 110232728
samples/test-1247.points - 377010 - 107626645
samples/test-595.points - 586910 - 108350966
samples/test-749.points - 202776 - 98434406
samples/test-1019.points - 169880 - 98892909
samples/test-750.points - 406147 - 83181527
samples/test-1391.points - 604838 - 81966714
samples/test-1333.points - 127441 - 105337557
samples/test-451.points - 224026 - 94740045
samples/test-1540.points - 553445 - 83247209
samples/test-587.points - 192664 - 105452570
samples/test-811.points - 269837 - 101804114
samples/test-743.points - 148407 - 114549350
samples/test-1321.points - 389627 - 93051730
samples/test-1478.points - 428623 - 107808469
samples/test-789.points - 188535 - 86129351
samples/test-333.points - 525861 - 88785345
samples/test-648.points - 440058 - 113142890
samples/test-1446.points - 258102 - 99618160
samples/test-580.points - 543946 - 112524292
samples/test-654.points - 311093 - 102174759
samples/test-713.points - 205402 - 97818129
samples/test-1569.points - 207208 - 93695152
samples/test-970.points - 2946934 - 101471770
samples/test-350.points - 505310 - 83959566
samples/test-1126.points - 346499 - 103609998
samples/test-1290.points - 462409 - 97111216
samples/test-1026.points - 563933 - 79274205
samples/test-1052.points - 481138 - 98895323
samples/test-172.points - 399796 - 79433854
samples/test-934.points - 154988 - 100882405
samples/test-143.points - 567436 - 87570358
samples/test-1339.points - 586914 - 88437449
samples/test-1579.points - 399021 - 103012172
samples/test-548.points - 252472 - 86958751
samples/test-48.points - 297784 - 101917974
samples/test-519.points - 299354 - 93772574
samples/test-1585.points - 285133 - 103919714
samples/test-98.points - 546157 - 81231156
samples/test-130.points - 214342 - 85130980
samples/test-847.points - 582023 - 92629684
samples/test-97.points - 433163 - 82034386
samples/test-1066.points - 363035 - 83513981
samples/test-1305.points - 661058 - 94203786
samples/test-1324.points - 351230 - 90389427
samples/test-665.points - 274680 - 84080008
samples/test-1557.points - 637904 - 92367550
samples/test-866.points - 523363 - 118514191
samples/test-28.points - 107293 - 114574385
samples/test-1155.points - 443087 - 97836643
samples/test-39.points - 316773 - 105210874
samples/test-507.points - 501293 - 94659265
samples/test-971.points - 348314 - 88859264
samples/test-1411.points - 401422 - 99646634
samples/test-1473.points - 172538 - 85014998
samples/test-892.points - 420728 - 100958539
samples/test-178.points - 226618 - 87180489
samples/test-1654.points - 338837 - 125266903
samples/test-1081.points - 215634 - 93349524
samples/test-1137.points - 265329 - 96374299
samples/test-1185.points - 452284 - 112955247
samples/test-772.points - 474309 - 108921138
samples/test-1048.points - 287089 - 86876487
samples/test-1252.points - 133897 - 94103602
samples/test-1555.points - 179728 - 91589226
samples/test-1073.points - 190046 - 96965173
samples/test-754.points - 332386 - 88790063
samples/test-930.points - 288116 - 86117931
samples/test-8.points - 314427 - 105844680
samples/test-1426.points - 222696 - 82146101
samples/test-222.points - 272544 - 100022034
samples/test-496.points - 254505 - 99378187
samples/test-1577.points - 227060 - 107603228
samples/test-1390.points - 409895 - 90727359
samples/test-669.points - 279177 - 86692051
samples/test-1163.points - 488326 - 107313836
samples/test-465.points - 670568 - 87945794
samples/test-160.points - 488475 - 103362520
samples/test-424.points - 224146 - 102940247
samples/test-901.points - 308695 - 100613059
samples/test-1216.points - 515465 - 112134842
samples/test-234.points - 481600 - 93916603
samples/test-1232.points - 268424 - 97402480
samples/test-651.points - 403742 - 117745206
samples/test-133.points - 267218 - 86543434
samples/test-1514.points - 275356 - 94503244
samples/test-1201.points - 272311 - 98711058
samples/test-973.points - 225551 - 89060219
samples/test-969.points - 266009 - 122202813
samples/test-868.points - 388342 - 88820506
samples/test-719.points - 283491 - 97928716
samples/test-31.points - 438626 - 92881988
samples/test-1271.points - 361434 - 102047916
samples/test-555.points - 111600 - 98620369
samples/test-594.points - 368392 - 85813492
samples/test-63.points - 379144 - 90357727
samples/test-135.points - 457836 - 83683027
samples/test-1615.points - 750229 - 106010183
samples/test-809.points - 255742 - 110459752
samples/test-16.points - 249308 - 102098914
samples/test-479.points - 264538 - 104693433
samples/test-952.points - 2921662 - 98500122
samples/test-954.points - 433563 - 92453225
samples/test-311.points - 283263 - 108309877
samples/test-1208.points - 137934 - 107225155
samples/test-113.points - 289021 - 81266
samples/test-475.points - 187329 - 106149050
samples/test-77.points - 281216 - 94179040
samples/test-1249.points - 294397 - 90395759
samples/test-1642.points - 431391 - 82809540
samples/test-1559.points - 236326 - 94869707
samples/test-498.points - 631179 - 91648397
samples/test-1621.points - 424260 - 94805655
samples/test-376.points - 318913 - 101809486
samples/test-893.points - 202661 - 100635336
samples/test-1176.points - 465898 - 82377459
samples/test-1148.points - 312209 - 83316378
samples/test-1254.points - 202326 - 102565053
samples/test-260.points - 222169 - 92964331
samples/test-118.points - 621546 - 89257628
samples/test-1382.points - 351257 - 108647954
samples/test-1354.points - 561258 - 87837977
samples/test-318.points - 373260 - 115082644
samples/test-1244.points - 139025 - 95845322
samples/test-1614.points - 224427 - 96090977
samples/test-1303.points - 263759 - 83405594
samples/test-540.points - 511184 - 99442535
samples/test-1629.points - 475227 - 94239737
samples/test-625.points - 189046 - 89940236
samples/test-468.points - 247066 - 107561483
samples/test-1253.points - 189378 - 127981772
samples/test-913.points - 261146 - 108318150
samples/test-1270.points - 466283 - 99681580
samples/test-735.points - 608263 - 96978044
samples/test-1091.points - 236497 - 91796128
samples/test-27.points - 177468 - 100054413
samples/test-1213.points - 220535 - 92035828
samples/test-1197.points - 320725 - 114751367
samples/test-615.points - 413725 - 82675655
samples/test-355.points - 177753 - 83464764
samples/test-510.points - 516494 - 78714383
samples/test-945.points - 547702 - 80484141
samples/test-1300.points - 152167 - 96572190
samples/test-313.points - 284495 - 101325692
samples/test-704.points - 447525 - 93964845
samples/test-571.points - 275134 - 80708930
samples/test-343.points - 471209 - 100633114
samples/test-1225.points - 298116 - 112618490
samples/test-455.points - 462923 - 81797274
samples/test-574.points - 166682 - 94138248
samples/test-782.points - 98998 - 79828628
samples/test-944.points - 430299 - 93846227
samples/test-233.points - 368801 - 39937
samples/test-558.points - 398774 - 83297287
samples/test-698.points - 376845 - 85304232
samples/test-95.points - 305943 - 107421263
samples/test-1320.points - 272732 - 86026356
samples/test-86.points - 405699 - 93779539
samples/test-911.points - 540761 - 96842116
samples/test-126.points - 213852 - 86204915
samples/test-338.points - 372638 - 82406016
samples/test-1182.points - 435807 - 113910668
samples/test-106.points - 455778 - 106717746
samples/test-1576.points - 599635 - 111828244
samples/test-1521.points - 286726 - 95008942
samples/test-150.points - 518704 - 79692151
samples/test-261.points - 263399 - 90607691
samples/test-1313.points - 332263 - 99812130
samples/test-1553.points - 660560 - 88491891
samples/test-66.points - 350108 - 112460927
samples/test-1467.points - 208684 - 114419878
