WelzlTime - NaifTime
409 - 124
383 - 86952
304 - 85453
827 - 94147
343 - 94677
733 - 93118
430 - 89406
185 - 102604
276 - 89183
199 - 97799
275 - 84773
343 - 102269
321 - 82811
395 - 85172
330 - 92781
78 - 195
494 - 112419
295 - 100410
256 - 105739
493 - 95751
331 - 114721
294 - 98182
300 - 711
501 - 101097
397 - 96554
500 - 80803
163 - 104271
307 - 97572
605 - 80200
770 - 99479
258 - 105383
2126 - 91314
175 - 90536
491 - 78830
396 - 82875
857 - 86888
359 - 101558
231 - 93102
224 - 102138
135 - 96110
407 - 109117
566 - 108237
864 - 87165
394 - 84206
155 - 94100
234 - 80245
254 - 87412
341 - 94509
85 - 85517
382 - 99771
908 - 84298
293 - 94396
344 - 94723
433 - 100239
195 - 123341
239 - 90904
429 - 94818
282 - 109748
199 - 104403
186 - 98926
228 - 93682
317 - 93892
352 - 96681
533 - 98998
283 - 104138
187 - 96083
201 - 220
193 - 88710
434 - 78609
218 - 90119
185 - 113161
522 - 84075
224 - 90120
426 - 88247
424 - 87183
250 - 99795
310 - 94564
176 - 87384
442 - 87340
498 - 103544
166 - 104873
279 - 81200
293 - 105564
313 - 93763
108 - 128552
846 - 107611
219 - 99368
351 - 99935
520 - 88231
313 - 110970
306 - 109330
608 - 102303
315 - 87872
613 - 85812
427 - 107046
429 - 96477
406 - 303
254 - 85439
171 - 91979
385 - 98130
369 - 91732
458 - 83302
173 - 107904
1020 - 89506
268 - 92032
399 - 83082
272 - 84710
658 - 121230
530 - 88209
589 - 97732
2386 - 139177
584 - 80918
563 - 89805
649 - 102955
187 - 99981
318 - 107268
589 - 94425
346 - 86648
367 - 96010
682 - 116459
876 - 123572
277 - 103851
572 - 133138
268 - 101126
445 - 102793
398 - 108609
156 - 110346
317 - 90053
276 - 120154
326 - 87025
235 - 232
565 - 98161
338 - 85170
133 - 82910
316 - 111470
288 - 90514
138 - 89508
525 - 103084
210 - 91134
377 - 89912
382 - 83302
611 - 93904
175 - 8
268 - 87626
513 - 81783
373 - 82707
287 - 81420
690 - 97337
516 - 81611
239 - 89662
250 - 85129
351 - 89618
130 - 94309
250 - 83768
315 - 100058
342 - 80600
199 - 91662
560 - 89536
328 - 84685
323 - 85523
375 - 94578
276 - 80250
446 - 100976
316 - 81896
395 - 88102
262 - 94919
199 - 100687
387 - 87985
224 - 92771
397 - 92154
450 - 94353
447 - 115747
388 - 84161
366 - 105289
228 - 80090
272 - 97368
616 - 92583
232 - 95259
467 - 83077
433 - 108230
218 - 88061
244 - 92862
306 - 94509
447 - 93768
167 - 99026
410 - 86932
480 - 115625
212 - 105207
677 - 97590
2536 - 96362
186 - 93736
118 - 97543
503 - 103170
285 - 83820
312 - 92023
360 - 80368
426 - 87254
326 - 83123
343 - 103889
206 - 81937
158 - 83005
320 - 81994
377 - 84834
408 - 99115
532 - 107179
314 - 106222
260 - 146
195 - 88080
327 - 83964
148 - 97054
149 - 94771
459 - 111740
153 - 111490
486 - 95812
397 - 105085
383 - 85226
429 - 108903
954 - 86647
471 - 97782
561 - 105232
608 - 98464
189 - 90323
406 - 97244
277 - 84676
468 - 82757
369 - 92359
270 - 103178
623 - 105546
135 - 86616
334 - 109714
403 - 96414
359 - 105852
259 - 96870
213 - 113909
197 - 89890
457 - 92994
400 - 101327
262 - 85168
67 - 100064
392 - 93056
503 - 88308
341 - 85601
553 - 107903
270 - 105386
274 - 80746
219 - 102987
296 - 110747
260 - 109522
327 - 104069
611 - 95054
302 - 111266
327 - 83456
723 - 115479
456 - 98412
339 - 80152
518 - 111756
279 - 96391
194 - 96223
436 - 87471
454 - 104733
519 - 90612
413 - 115248
143 - 85781
694 - 107190
451 - 109086
295 - 107010
425 - 84122
107 - 82365
487 - 99035
2215 - 98902
383 - 123893
191 - 92974
310 - 87387
459 - 79052
307 - 117271
413 - 83143
738 - 533
584 - 98281
259 - 97914
266 - 100318
439 - 89146
161 - 89591
162 - 86080
314 - 100059
394 - 86464
377 - 108095
266 - 113252
373 - 106172
297 - 103499
498 - 95506
321 - 79503
221 - 85920
380 - 87527
205 - 103052
560 - 103989
439 - 111399
403 - 96300
461 - 92756
100 - 87222
602 - 95286
255 - 100687
136 - 78325
433 - 101304
198 - 104872
306 - 109174
465 - 113539
380 - 100010
333 - 94966
238 - 81999
398 - 105753
397 - 110919
406 - 90529
